File: diagnostic
Build ID: c5c547761b7abed7a06d8d64f49e8485c1ad07cd
Type: cpu
Time: 2026-09-16 21:25:21 UTC
Duration: 4.17s, Total samples = 5.51s (132.02%)
Showing nodes accounting for 3.88s, 70.42% of 5.51s total
Dropped 466 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
         0     0%     0%      4.42s 80.22%  main.main
         0     0%     0%      4.42s 80.22%  main.queryCommand
         0     0%     0%      4.42s 80.22%  main.runQuery
         0     0%     0%      4.42s 80.22%  runtime.main
         0     0%     0%      4.37s 79.31%  github.com/graydeon/mousa/internal/sqlite.Open (inline)
         0     0%     0%      4.37s 79.31%  github.com/graydeon/mousa/internal/sqlite.open
         0     0%     0%      4.35s 78.95%  github.com/graydeon/mousa/internal/sqlite.verifyVersion
         0     0%     0%         4s 72.60%  github.com/graydeon/mousa/internal/sqlite.verifySourceTrailRecords
         0     0%     0%      3.13s 56.81%  github.com/graydeon/mousa/internal/sqlite.getSourceTrail
     0.01s  0.18%  0.18%      2.75s 49.91%  github.com/graydeon/mousa/internal/sqlite.verifyExactTrailContent
     0.02s  0.36%  0.54%      2.41s 43.74%  database/sql.withLock
     0.01s  0.18%  0.73%      2.31s 41.92%  database/sql.(*DB).queryDC
         0     0%  0.73%      2.22s 40.29%  database/sql.(*DB).queryDC.func1
         0     0%  0.73%      2.20s 39.93%  github.com/graydeon/mousa/internal/sqlite.migrate
         0     0%  0.73%      2.18s 39.56%  database/sql.ctxDriverQuery
         0     0%  0.73%      2.18s 39.56%  modernc.org/sqlite.(*conn).QueryContext
     0.01s  0.18%  0.91%      2.18s 39.56%  modernc.org/sqlite.(*conn).query
         0     0%  0.91%      2.17s 39.38%  github.com/graydeon/mousa/internal/sqlite.preflightWritable
         0     0%  0.91%      2.07s 37.57%  database/sql.(*Tx).QueryContext
         0     0%  0.91%      1.75s 31.76%  github.com/graydeon/mousa/internal/sqlite.lexicalEvidencePaths
         0     0%  0.91%      1.75s 31.76%  github.com/graydeon/mousa/internal/sqlite.lexicalRepresentationPaths
         0     0%  0.91%      1.74s 31.58%  database/sql.(*Tx).QueryRowContext
