File: diagnostic
Build ID: c5c547761b7abed7a06d8d64f49e8485c1ad07cd
Type: cpu
Time: 2026-09-16 21:25:21 UTC
Duration: 4.17s, Total samples = 5.51s (132.02%)
Showing nodes accounting for 3.88s, 70.42% of 5.51s total
Dropped 466 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     0.31s  5.63%  5.63%      0.31s  5.63%  runtime.usleep
     0.17s  3.09%  8.71%      0.17s  3.09%  encoding/json/internal/jsonwire.ConsumeSimpleString (inline)
     0.15s  2.72% 11.43%      0.15s  2.72%  runtime.futex
     0.13s  2.36% 13.79%      0.13s  2.36%  internal/runtime/syscall/linux.Syscall6
     0.12s  2.18% 15.97%      0.53s  9.62%  modernc.org/sqlite/lib._sqlite3VdbeExec
     0.11s  2.00% 17.97%      1.23s 22.32%  modernc.org/sqlite/lib._yy_reduce
     0.09s  1.63% 19.60%      0.09s  1.63%  modernc.org/libc.Xmemcpy
     0.07s  1.27% 20.87%      0.07s  1.27%  crypto/internal/fips140/sha256.blockSHANI
     0.06s  1.09% 21.96%      0.09s  1.63%  github.com/graydeon/mousa/internal/mousa.decodeLowerHex
     0.06s  1.09% 23.05%      0.06s  1.09%  modernc.org/libc.Xmemset
     0.05s  0.91% 23.96%      0.05s  0.91%  modernc.org/libc.(*TLS).Free
     0.05s  0.91% 24.86%      0.08s  1.45%  modernc.org/sqlite/lib._lookupName
     0.05s  0.91% 25.77%      1.44s 26.13%  modernc.org/sqlite/lib._sqlite3RunParser
     0.05s  0.91% 26.68%      0.05s  0.91%  runtime.(*_panic).nextDefer
     0.05s  0.91% 27.59%      0.05s  0.91%  runtime.memmove
     0.05s  0.91% 28.49%      0.07s  1.27%  runtime.tryDeferToSpanScan
     0.05s  0.91% 29.40%      0.05s  0.91%  runtime.typePointers.next
     0.04s  0.73% 30.13%      0.04s  0.73%  encoding/hex.Encode (inline)
     0.04s  0.73% 30.85%      0.04s  0.73%  encoding/json/internal/jsonwire.AppendQuote
     0.04s  0.73% 31.58%      0.04s  0.73%  encoding/json/internal/jsonwire.ConsumeWhitespace (inline)
     0.04s  0.73% 32.30%      0.07s  1.27%  encoding/json/v2.makeString
     0.04s  0.73% 33.03%      0.09s  1.63%  encoding/json/v2.makeStringArshaler.func1
     0.04s  0.73% 33.76%      0.32s  5.81%  encoding/json/v2.makeStructArshaler.func2
     0.04s  0.73% 34.48%      0.27s  4.90%  encoding/json/v2.makeStructArshaler.func3
     0.04s  0.73% 35.21%      0.04s  0.73%  modernc.org/libc.(*TLS).Alloc
     0.04s  0.73% 35.93%      0.04s  0.73%  modernc.org/libc.Int32FromUint16 (inline)
     0.04s  0.73% 36.66%      0.04s  0.73%  modernc.org/sqlite/lib._keywordCode
     0.04s  0.73% 37.39%      1.33s 24.14%  modernc.org/sqlite/lib._sqlite3Parser
     0.04s  0.73% 38.11%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3StrICmp
     0.04s  0.73% 38.84%      0.05s  0.91%  runtime.mallocgcTinySC2
     0.04s  0.73% 39.56%      0.04s  0.73%  runtime.memclrNoHeapPointers
     0.04s  0.73% 40.29%      0.04s  0.73%  runtime.nextFreeFast (inline)
     0.03s  0.54% 40.83%      0.04s  0.73%  database/sql.driverArgsConnLocked
     0.03s  0.54% 41.38%      0.03s  0.54%  encoding/hex.Decode
     0.03s  0.54% 41.92%      0.05s  0.91%  encoding/json/internal/jsonwire.ConsumeStringResumable
     0.03s  0.54% 42.47%      1.49s 27.04%  modernc.org/sqlite.newStmt
     0.03s  0.54% 43.01%      0.04s  0.73%  modernc.org/sqlite/lib._exprAnalyze
