File: diagnostic
Build ID: abd29e9db092f2100ef189cb53825be3ba977096
Type: cpu
Time: 2026-09-16 07:18:10 UTC
Duration: 4.15s, Total samples = 4.46s (107.46%)
Showing nodes accounting for 2.97s, 66.59% of 4.46s total
Dropped 363 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
         0     0%     0%      4.27s 95.74%  github.com/graydeon/mousa/internal/sqlite.Open (inline)
         0     0%     0%      4.27s 95.74%  github.com/graydeon/mousa/internal/sqlite.open
         0     0%     0%      4.27s 95.74%  github.com/graydeon/mousa/internal/sqlite.verifyVersion
         0     0%     0%      4.27s 95.74%  main.main
         0     0%     0%      4.27s 95.74%  main.runStatus
         0     0%     0%      4.27s 95.74%  main.statusCommand
         0     0%     0%      4.27s 95.74%  runtime.main
         0     0%     0%      4.10s 91.93%  github.com/graydeon/mousa/internal/sqlite.verifySourceTrailRecords
         0     0%     0%      3.30s 73.99%  github.com/graydeon/mousa/internal/sqlite.getSourceTrail
         0     0%     0%      2.94s 65.92%  github.com/graydeon/mousa/internal/sqlite.verifyExactTrailContent
         0     0%     0%      2.46s 55.16%  database/sql.withLock
         0     0%     0%      2.30s 51.57%  database/sql.(*DB).QueryContext
         0     0%     0%      2.30s 51.57%  database/sql.(*DB).QueryContext.func1
         0     0%     0%      2.30s 51.57%  database/sql.(*DB).query
         0     0%     0%      2.30s 51.57%  database/sql.(*DB).retry
     0.02s  0.45%  0.45%      2.28s 51.12%  database/sql.(*DB).queryDC
         0     0%  0.45%      2.26s 50.67%  github.com/graydeon/mousa/internal/sqlite.lexicalEvidencePaths
     0.01s  0.22%  0.67%      2.25s 50.45%  github.com/graydeon/mousa/internal/sqlite.lexicalRepresentationPaths
         0     0%  0.67%      2.22s 49.78%  database/sql.(*DB).queryDC.func1
         0     0%  0.67%      2.22s 49.78%  github.com/graydeon/mousa/internal/sqlite.preflightWritable
         0     0%  0.67%      2.17s 48.65%  database/sql.ctxDriverQuery
         0     0%  0.67%      2.17s 48.65%  modernc.org/sqlite.(*conn).QueryContext
     0.01s  0.22%   0.9%      2.17s 48.65%  modernc.org/sqlite.(*conn).query
         0     0%   0.9%      2.05s 45.96%  github.com/graydeon/mousa/internal/sqlite.migrate
         0     0%   0.9%      1.97s 44.17%  database/sql.(*DB).QueryRowContext (partial-inline)
         0     0%   0.9%      1.32s 29.60%  modernc.org/sqlite.(*conn).prepareV2
         0     0%   0.9%      1.32s 29.60%  modernc.org/sqlite.newStmt
         0     0%   0.9%      1.32s 29.60%  modernc.org/sqlite/lib.Xsqlite3_prepare_v2 (inline)
     0.01s  0.22%  1.12%      1.32s 29.60%  modernc.org/sqlite/lib._sqlite3LockAndPrepare
         0     0%  1.12%      1.30s 29.15%  modernc.org/sqlite/lib._sqlite3Prepare
     0.02s  0.45%  1.57%      1.27s 28.48%  modernc.org/sqlite/lib._sqlite3RunParser
     0.02s  0.45%  2.02%      1.21s 27.13%  modernc.org/sqlite/lib._sqlite3Parser
     0.10s  2.24%  4.26%      1.15s 25.78%  modernc.org/sqlite/lib._yy_reduce
         0     0%  4.26%      1.14s 25.56%  github.com/graydeon/mousa/internal/sqlite.getSegment
         0     0%  4.26%      0.90s 20.18%  github.com/graydeon/mousa/internal/sqlite.getRepresentation
     0.02s  0.45%  4.71%      0.88s 19.73%  modernc.org/sqlite/lib._sqlite3Select
         0     0%  4.71%      0.84s 18.83%  modernc.org/sqlite.(*stmt).query
         0     0%  4.71%      0.71s 15.92%  modernc.org/sqlite.(*conn).step
     0.01s  0.22%  4.93%      0.71s 15.92%  modernc.org/sqlite/lib.Xsqlite3_step
         0     0%  4.93%      0.70s 15.70%  modernc.org/sqlite/lib._sqlite3Step
     0.07s  1.57%  6.50%      0.70s 15.70%  modernc.org/sqlite/lib._sqlite3VdbeExec
         0     0%  6.50%      0.55s 12.33%  github.com/graydeon/mousa/internal/sqlite.getObservation
         0     0%  6.50%      0.49s 10.99%  github.com/graydeon/mousa/internal/mousa.decodeJSONContract
         0     0%  6.50%      0.47s 10.54%  github.com/graydeon/mousa/internal/mousa.encodeJSONContract
         0     0%  6.50%      0.47s 10.54%  github.com/graydeon/mousa/internal/sqlite.getArtifact
         0     0%  6.50%      0.46s 10.31%  encoding/json/v2.marshalEncode
         0     0%  6.50%      0.44s  9.87%  encoding/json.(*Encoder).Encode
         0     0%  6.50%      0.42s  9.42%  encoding/json.(*Decoder).Decode
     0.02s  0.45%  6.95%      0.42s  9.42%  encoding/json/v2.makeStructArshaler.func2
         0     0%  6.95%      0.42s  9.42%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.SegmentID "json:\"id\""; RepresentationID github.com/graydeon/mousa/internal/mousa.RepresentationID "json:\"representation_id\""; Selector github.com/graydeon/mousa/internal/mousa.SegmentSelector "json:\"selector\""; ContentSHA256 github.com/graydeon/mousa/internal/mousa.SHA256 "json:\"content_sha256\"" }]
         0     0%  6.95%      0.41s  9.19%  encoding/json/v2.MarshalEncode
         0     0%  6.95%      0.41s  9.19%  github.com/graydeon/mousa/internal/sqlite.verifyInputProjection
     0.01s  0.22%  7.17%      0.40s  8.97%  database/sql.(*Row).Scan
     0.03s  0.67%  7.85%      0.36s  8.07%  modernc.org/sqlite/lib._btreeBeginTrans
         0     0%  7.85%      0.36s  8.07%  modernc.org/sqlite/lib._sqlite3BtreeBeginTrans
         0     0%  7.85%      0.34s  7.62%  modernc.org/sqlite/lib._sqlite3WhereBegin
         0     0%  7.85%      0.33s  7.40%  modernc.org/sqlite/lib._lockBtree
         0     0%  7.85%      0.32s  7.17%  modernc.org/sqlite/lib._sqlite3PagerSharedLock
     0.01s  0.22%  8.07%      0.30s  6.73%  database/sql.(*Rows).Close
     0.03s  0.67%  8.74%      0.30s  6.73%  encoding/json/v2.makeMethodArshaler.func3
         0     0%  8.74%      0.29s  6.50%  database/sql.(*Rows).close
     0.01s  0.22%  8.97%      0.29s  6.50%  encoding/json/v2.Unmarshal
         0     0%  8.97%      0.28s  6.28%  github.com/graydeon/mousa/internal/sqlite.getSource
     0.02s  0.45%  9.42%      0.26s  5.83%  encoding/json/jsontext.(*decoderState).consumeValue
     0.01s  0.22%  9.64%      0.26s  5.83%  encoding/json/v2.unmarshalDecode
         0     0%  9.64%      0.26s  5.83%  modernc.org/sqlite/lib._sqlite3OsShmLock (inline)
     0.01s  0.22%  9.87%      0.26s  5.83%  modernc.org/sqlite/lib._unixShmLock
     0.01s  0.22% 10.09%      0.26s  5.83%  syscall.RawSyscall6
         0     0% 10.09%      0.26s  5.83%  syscall.Syscall
         0     0% 10.09%      0.25s  5.61%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.0dcd03afbde88ccecc209e5531ea1ad4736511c0737b39f41f5b23eeb333a528]
     0.25s  5.61% 15.70%      0.25s  5.61%  internal/runtime/syscall/linux.Syscall6
     0.01s  0.22% 15.92%      0.25s  5.61%  modernc.org/sqlite/lib._unixShmSystemLock
         0     0% 15.92%      0.24s  5.38%  database/sql.(*Rows).close.func1
     0.02s  0.45% 16.37%      0.24s  5.38%  encoding/json/jsontext.(*decoderState).ReadValue
         0     0% 16.37%      0.24s  5.38%  modernc.org/sqlite.(*conn).finalize
         0     0% 16.37%      0.24s  5.38%  modernc.org/sqlite.(*rows).Close
         0     0% 16.37%      0.24s  5.38%  modernc.org/sqlite/lib.Xsqlite3_finalize
     0.01s  0.22% 16.59%      0.24s  5.38%  runtime.mallocgc
         0     0% 16.59%      0.23s  5.16%  github.com/graydeon/mousa/internal/mousa.DecodeSegment
         0     0% 16.59%      0.23s  5.16%  modernc.org/libc.Xfcntl
     0.02s  0.45% 17.04%      0.23s  5.16%  modernc.org/sqlite/lib._pagerBeginReadTransaction
     0.01s  0.22% 17.26%      0.23s  5.16%  modernc.org/sqlite/lib._sqlite3VdbeHalt
     0.01s  0.22% 17.49%      0.22s  4.93%  modernc.org/libc.X__syscall3
     0.01s  0.22% 17.71%      0.22s  4.93%  modernc.org/sqlite/lib._sqlite3SelectPrep
         0     0% 17.71%      0.21s  4.71%  modernc.org/sqlite/lib._sqlite3VdbeReset
     0.01s  0.22% 17.94%      0.21s  4.71%  modernc.org/sqlite/lib._sqlite3WalBeginReadTransaction (inline)
