File: diagnostic
Build ID: abd29e9db092f2100ef189cb53825be3ba977096
Type: cpu
Time: 2026-09-16 07:18:10 UTC
Duration: 4.15s, Total samples = 4.46s (107.46%)
Showing nodes accounting for 2.97s, 66.59% of 4.46s total
Dropped 363 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
     0.25s  5.61%  5.61%      0.25s  5.61%  internal/runtime/syscall/linux.Syscall6
     0.15s  3.36%  8.97%      0.15s  3.36%  encoding/json/internal/jsonwire.ConsumeSimpleString (inline)
     0.10s  2.24% 11.21%      0.10s  2.24%  modernc.org/libc.(*TLS).Alloc
     0.10s  2.24% 13.45%      1.15s 25.78%  modernc.org/sqlite/lib._yy_reduce
     0.09s  2.02% 15.47%      0.14s  3.14%  github.com/graydeon/mousa/internal/mousa.decodeLowerHex
     0.08s  1.79% 17.26%      0.08s  1.79%  runtime.memmove
     0.07s  1.57% 18.83%      0.70s 15.70%  modernc.org/sqlite/lib._sqlite3VdbeExec
     0.05s  1.12% 19.96%      0.05s  1.12%  encoding/hex.Decode
     0.05s  1.12% 21.08%      0.05s  1.12%  modernc.org/libc.(*TLS).Free
     0.04s   0.9% 21.97%      0.04s   0.9%  encoding/json/internal/jsonopts.GetOption[go.shape.bool]
     0.04s   0.9% 22.87%      0.05s  1.12%  encoding/json/internal/jsonwire.AppendQuote
     0.04s   0.9% 23.77%      0.19s  4.26%  encoding/json/jsontext.(*decoderState).consumeObject
     0.04s   0.9% 24.66%      0.17s  3.81%  encoding/json/v2.makeStructArshaler.func3
     0.04s   0.9% 25.56%      0.04s   0.9%  modernc.org/libc.Xmemcpy
     0.04s   0.9% 26.46%      0.04s   0.9%  modernc.org/sqlite/lib._sqlite3GetToken
     0.03s  0.67% 27.13%      0.05s  1.12%  database/sql.driverArgsConnLocked
     0.03s  0.67% 27.80%      0.03s  0.67%  encoding/json/internal/jsonwire.ConsumeStringResumable
     0.03s  0.67% 28.48%      0.07s  1.57%  encoding/json/jsontext.(*encoderState).WriteToken
     0.03s  0.67% 29.15%      0.30s  6.73%  encoding/json/v2.makeMethodArshaler.func3
     0.03s  0.67% 29.82%      0.03s  0.67%  internal/abi.Name.IsExported (inline)
     0.03s  0.67% 30.49%      0.03s  0.67%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).Load
     0.03s  0.67% 31.17%      0.03s  0.67%  modernc.org/libc.Xmemset
     0.03s  0.67% 31.84%      0.04s   0.9%  modernc.org/libc.Xpthread_mutex_lock
     0.03s  0.67% 32.51%      0.10s  2.24%  modernc.org/sqlite.(*conn).bind
     0.03s  0.67% 33.18%      0.03s  0.67%  modernc.org/sqlite/lib.Xsqlite3_value_blob
     0.03s  0.67% 33.86%      0.36s  8.07%  modernc.org/sqlite/lib._btreeBeginTrans
     0.03s  0.67% 34.53%      0.09s  2.02%  modernc.org/sqlite/lib._selectExpander
     0.03s  0.67% 35.20%      0.03s  0.67%  modernc.org/sqlite/lib._sqlite3DbMallocRawNN
     0.03s  0.67% 35.87%      0.06s  1.35%  modernc.org/sqlite/lib._sqlite3LocateTable
     0.03s  0.67% 36.55%      0.08s  1.79%  modernc.org/sqlite/lib._whereScanNext
     0.03s  0.67% 37.22%      0.03s  0.67%  modernc.org/sqlite/lib._yy_find_shift_action
     0.03s  0.67% 37.89%      0.03s  0.67%  runtime.(*_panic).nextDefer
     0.03s  0.67% 38.57%      0.03s  0.67%  runtime.mallocgcSmallScanNoHeaderSC2
     0.03s  0.67% 39.24%      0.03s  0.67%  runtime.memclrNoHeapPointers
     0.03s  0.67% 39.91%      0.03s  0.67%  runtime.nextFreeFast (inline)
     0.02s  0.45% 40.36%      0.05s  1.12%  crypto/internal/fips140/sha256.(*Digest).Write
